Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
1342 Health and Welfare Services Managers	134212 Director - of nursing (inc. assistant, deputy, executive and clinical); Manager - nurse - senior; Nurse - nurse manager - senior; Nurse - nursing director (inc. assistant, deputy, executive and clinical); Nursing director (inc. assistant, deputy, executive and clinical)	Male	578	95902	92836
1342 Health and Welfare Services Managers	134212 Director - of nursing (inc. assistant, deputy, executive and clinical); Manager - nurse - senior; Nurse - nurse manager - senior; Nurse - nursing director (inc. assistant, deputy, executive and clinical); Nursing director (inc. assistant, deputy, executive and clinical)	Total	4182	84731	82405
1342 Health and Welfare Services Managers	134213 Manager - primary health organisation; Primary health organisation manager	Female	998	81977	73194
1342 Health and Welfare Services Managers	134213 Manager - primary health organisation; Primary health organisation manager	Male	367	99430	83774
1342 Health and Welfare Services Managers	134213 Manager - primary health organisation; Primary health organisation manager	Total	1365	86669	75399
1342 Health and Welfare Services Managers	134214 Manager - welfare centre; Welfare centre manager	Female	1090	64215	60312
1342 Health and Welfare Services Managers	134214 Manager - welfare centre; Welfare centre manager	Male	456	70295	64360
1342 Health and Welfare Services Managers	134214 Manager - welfare centre; Welfare centre manager	Total	1546	66008	61500
1342 Health and Welfare Services Managers	134299 Health and welfare service manager - other; Manager - health and welfare service - other; Army - medical corps officer (army); Medical corps officer (army)	Female	7115	69160	62994
1342 Health and Welfare Services Managers	134299 Health and welfare service manager - other; Manager - health and welfare service - other; Army - medical corps officer (army); Medical corps officer (army)	Male	2988	92559	78687
1342 Health and Welfare Services Managers	134299 Health and welfare service manager - other; Manager - health and welfare service - other; Army - medical corps officer (army); Medical corps officer (army)	Total	10103	76080	67349
1343 School Principals	134311 School principal	Female	6041	111257	110178
1343 School Principals	134311 School principal	Male	5633	118966	114256
1343 School Principals	134311 School principal	Total	11674	114977	112075
1344 Other Education Managers	134411 Faculty head; Head of school - TAFE	Female	319	110113	99923
1344 Other Education Managers	134411 Faculty head; Head of school - TAFE	Male	273	128574	107013
1344 Other Education Managers	134411 Faculty head; Head of school - TAFE	Total	592	118627	102521
1344 Other Education Managers	134412 Manager - regional education; Regional education manager; Administrator - school; Manager - school administration; School administrator	Female	6156	54789	48322
1344 Other Education Managers	134412 Manager - regional education; Regional education manager; Administrator - school; Manager - school administration; School administrator	Male	1353	87504	80364
1344 Other Education Managers	134412 Manager - regional education; Regional education manager; Administrator - school; Manager - school administration; School administrator	Total	7509	60684	51767
1344 Other Education Managers	134499 Registrar - TAFE; Registrar - university; TAFE registrar; University registrar	Female	436	71595	65589
1344 Other Education Managers	134499 Registrar - TAFE; Registrar - university; TAFE registrar; University registrar	Male	225	109827	78000
1344 Other Education Managers	134499 Registrar - TAFE; Registrar - university; TAFE registrar; University registrar	Total	661	84609	70079
1351 ICT Managers	135111 Chief information officer; Computing professional - chief information officer; IT professional - chief information officer	Female	1196	105268	79758
1351 ICT Managers	135111 Chief information officer; Computing professional - chief information officer; IT professional - chief information officer	Male	5233	142655	111069
1351 ICT Managers	135111 Chief information officer; Computing professional - chief information officer; IT professional - chief information officer	Total	6429	135700	104904
1351 ICT Managers	135112 Computing professional - project manager; Data processing manager; IT project manager; Manager - data processing; Manager - IT project	Female	6254	100087	90796
1351 ICT Managers	135112 Computing professional - project manager; Data processing manager; IT project manager; Manager - data processing; Manager - IT project	Male	14797	125033	114077
1351 ICT Managers	135112 Computing professional - project manager; Data processing manager; IT project manager; Manager - data processing; Manager - IT project	Total	21051	117622	107009
1351 ICT Managers	135199 Computing professional - other manager; IT manager - other; Manager - IT - other; IT service delivery manager; Manager - IT service delivery	Female	5040	110233	100178
1351 ICT Managers	135199 Computing professional - other manager; IT manager - other; Manager - IT - other; IT service delivery manager; Manager - IT service delivery	Male	23781	129599	115900
1351 ICT Managers	135199 Computing professional - other manager; IT manager - other; Manager - IT - other; IT service delivery manager; Manager - IT service delivery	Total	28821	126213	112957
